timestep,reward
23,-0.2575
123611,0.0025
244047,0.068
364487,-0.039
483557,0.063
603081,0.0335
722579,0.071
842928,0.058
962736,0.113
1083513,0.2005
1204562,0.1645
1325870,0.113
1446974,0.104
1568283,0.118
1689147,0.142
1810463,0.1565
1931776,0.201
2053386,0.2
2174818,0.184
2296246,0.1925
2417949,0.133
2539640,0.1695
2661002,0.206
2782521,0.1675
2904112,0.148
3024862,0.1655
3145510,0.1605
3267121,0.168
3388535,0.172
3510417,0.1805
3631857,0.1695
3753339,0.1765
3874962,0.11
3996288,0.1335
4117192,0.1585
4238685,0.12
4359042,0.1505
4480130,0.2
4601228,0.1895
4722901,0.1805
4843747,0.142
4964081,0.1275
5084451,0.1525
5204907,0.183
5326041,0.1335
5446568,0.165
5567422,0.194
5688608,0.172
5810038,0.1395
5931457,0.152
